repetitions;time(ns)
10000;119612828
20000;181355381
30000;233314287
40000;290641050
50000;341625536
60000;423194562
70000;469028048
80000;512423801
90000;559950427
100000;602180393
110000;645911446
120000;704833688
130000;778105769
140000;848247059
150000;893791188
160000;936162841
170000;979478823
180000;1021700738
190000;1065888466
200000;1106431497
210000;1148758719
220000;1189763722
230000;1232328063
240000;1274415892
250000;1336149979
260000;1405758274
270000;1476889499
280000;1546732856
290000;1615537223
300000;1667018782
310000;1710507199
320000;1750788471
330000;1792460603
340000;1834426406
350000;1877372865
360000;1920292068
370000;1963497779
380000;2006100415
390000;2050010107
400000;2094500719
410000;2137010846
420000;2178833593
430000;2220828950
440000;2264732148
450000;2306659686
460000;2348509505
470000;2390766688
480000;2432221454
490000;2475295914
500000;2517916259
510000;2584003122
520000;2653617625
530000;2723337219
540000;2790862848
550000;2862378803
560000;2932863918
570000;2984337181
580000;3027144326
590000;3069873728
600000;3112516001
610000;3154225384
620000;3197064485
630000;3239904074
640000;3284192676
650000;3331807201
660000;3375390611
670000;3417574612
680000;3460970899
690000;3505375127
700000;3548587437
710000;3591307164
720000;3634830982
730000;3678700381
740000;3721289275
750000;3762951177
760000;3806234702
770000;3848002628
780000;3890777669
790000;3932901105
800000;3974853527
810000;4015669124
820000;4058110511
830000;4099873832
840000;4143484208
850000;4184201218
860000;4226725559
870000;4269073694
880000;4312602929
890000;4355739124
900000;4398718727
910000;4440397509
920000;4482983039
930000;4525749467
940000;4568295868
950000;4609952730
960000;4652121628
970000;4693429326
980000;4736048475
990000;4777365233
1000000;4819289224
1010000;4860956246
1020000;4902996336
1030000;4945108556
1040000;4985944338
1050000;5029297335
1060000;5070841052
1070000;5114028077
1080000;5157162397
1090000;5199154336
1100000;5241198727
1110000;5283756438
1120000;5325587919
1130000;5368306527
1140000;5409843809
1150000;5452986946
1160000;5494608790
1170000;5537784932
1180000;5579657024
1190000;5622980799
1200000;5665421654
1210000;5708834309
1220000;5750201747
1230000;5793696908
1240000;5835318746
1250000;5877581986
1260000;5920092266
1270000;5962951601
1280000;6005622666
1290000;6048024967
1300000;6090267840
1310000;6132194168
1320000;6173711495
1330000;6217736586
1340000;6259034202
1350000;6301836795
1360000;6343914799
1370000;6386668125
1380000;6428033006
1390000;6470790830
1400000;6512096477
1410000;6555007135
1420000;6598241117
1430000;6640742922
1440000;6680889303
1450000;6723782167
1460000;6766020413
1470000;6806881266
1480000;6849450326
1490000;6892323646
1500000;6933351156
1510000;6975356551
1520000;7017716006
1530000;7060455913
1540000;7102579313
1550000;7145977388
1560000;7188108687
1570000;7230792783
1580000;7273008158
1590000;7315504256
1600000;7357499673
1610000;7400329980
1620000;7441161496
1630000;7483989716
1640000;7526143767
1650000;7568395157
1660000;7610952970
1670000;7652761638
1680000;7694373482
1690000;7736870727
1700000;7779502903
1710000;7822370459
1720000;7864183519
1730000;7907227308
1740000;7948988224
1750000;7992203252
1760000;8034115779
1770000;8076199649
1780000;8118065479
1790000;8159152851
1800000;8200492316
1810000;8242864090
1820000;8286972599
1830000;8328469105
1840000;8371376656
1850000;8414159042
1860000;8456426254
1870000;8497974185
1880000;8540107073
1890000;8582402011
1900000;8623475712
1910000;8665749320
1920000;8708297780
1930000;8750594063
1940000;8792365720
1950000;8835213263
1960000;8878441827
1970000;8920426562
1980000;8962067850
1990000;9003994438